Exposure	Image average intensity old	Image average intensity new	Image average intensity default
1	4526.888958	4508.017917	4474.901667
11	4834.054792	4817.921875	4759.526458
21	5276.01125	5246.839792	5147.050833
31	5711.991875	5667.515208	5541.593958
41	6150.957917	6104.712083	5945.145208
51	6583.996458	6531.53375	6332.094583
61	7020.950208	6956.618125	6739.712083
71	7468.817708	7404.097917	7122.552708
81	7924.875833	7819.935	7512.044792
91	8352.265417	8261.860833	7909.087292
101	8781.092917	8665.33	8322.111458
111	9215.272708	9098.175208	8720.0175
121	9662.959167	9531.450625	9103.379583
131	10103.16	9988.811458	9499.825833
141	10527.05208	10390.27	9824.652917
151	10953.72438	10816.85917	10242.75375
161	11361.70792	11283.19375	10657.2425
171	11839.00604	11672.36458	11058.60146
181	12240.57875	12115.44146	11453.91625
191	12695.84667	12543.36875	11826.32333
201	13106.62896	12965.26417	12260.57729
211	13498.14667	13389.50708	12645.20438
221	13917.83063	13815.29979	13066.37063
231	14290.81625	14242.14563	13394.30479
241	14869.63646	14671.48313	13871.19208
251	15327.37125	15100.06792	14343.19625
261	15733.09396	15523.62958	14693.59979
271	16210.70958	15980.3	15010.28188
281	16648.52667	16389.38938	15499.50458
291	17071.42729	16815.73563	15895.65708
301	17386.175	17254.99125	16280.92979
311	17698.17292	17683.11167	16470.82896
321	18339.71667	18097.41563	17066.60021
331	18873.42583	18511.93729	17489.15479
341	19388.83271	18941.61958	17952.09875
351	19794.47833	19368.38167	18343.11458
361	20308.35458	19850.79792	18694.51979
371	20666.81625	20306.19333	19081.88083
381	21221.93292	20773.46375	19477.9225
391	21720.29354	21120.6575	19869.03854
401	22157.06438	21510.27667	20334.96458
411	22632.41771	22002.06917	20677.43417
421	23053.1925	22417.02979	21068.20563
431	23481.92667	22808.74979	21479.57438
441	23920.83604	23271.37667	21870.72396
451	24342.99354	23732.63354	22272.79854
461	24831.30875	24180.5275	22693.82417
471	25272.51042	24546.99958	23077.95313
481	25695.29729	25052.55688	23441.25375
491	26138.56604	25478.07417	23919.71542
501	26608.36104	25892.25104	24240.71375
511	27065.20875	26254.59396	24703.5675
521	27525.21708	4099.771667	4099.702917
531	28015.04646	4100.345417	4098.716458
541	28378.72688	4100.256458	4100.735
551	28850.24438	4101.1275	4098.32375
561	29311.41146	4099.720625	4101.754583
571	29780.88521	4100.751667	4099.837917
581	30196.50396	4099.623333	4100.023542
591	30659.58354	4098.703125	4100.373125
601	31130.80188	4099.20125	4099.203125
611	31582.41875	4098.773958	4086.105833
621	32027.37646	4100.471458	4100.287083
